Total documents found: 188
ID: eb1c7050-9c22-45e8-afa0-f12787a3801c | Original Name: UDAQ   1884.pdf | Scope: PERSONAL | Status: completed | Filename: 4fd7336d-536a-4e57-9779-a3458352c2de.pdf
ID: cf0a8d30-e96d-47b2-828f-0f4746703b87 | Original Name: UDAQ   1884.pdf | Scope: PERSONAL | Status: processing | Filename: c887ceb7-1db1-4232-8b39-0530c3cdd4ba.pdf
ID: 0877615d-35c3-42b0-8ed3-3441a1f98139 | Original Name: UDAQ   1884.pdf | Scope: PERSONAL | Status: completed | Filename: bf67ff2c-0b53-4e43-8002-34d1e970cebd.pdf
ID: cc7d8186-6441-471b-81b1-f824e44ae28c | Original Name: UDAQ   1884.pdf | Scope: PERSONAL | Status: completed | Filename: 07d591bb-6f70-41fd-a458-bdc11fd10a1e.pdf
ID: 0cc02963-c726-4a6d-ac71-27913d6521cf | Original Name: UDAQ   1884.pdf | Scope: PERSONAL | Status: completed | Filename: a308fbd2-2c72-4a9e-8472-a1f7bdf0e40f.pdf
ID: 711030dd-8676-4955-81fa-c578b4468d2b | Original Name: CNN_Theory (1).pdf | Scope: PERSONAL | Status: completed | Filename: 3970e686-7a61-4c14-9977-b369e61bd153.pdf
ID: 99663d6e-76e1-4204-b8ae-b3db0df79707 | Original Name: CNN_Theory (1).pdf | Scope: PERSONAL | Status: completed | Filename: d861050f-2255-4ab4-b250-e6ef6213bf5e.pdf
ID: fe0560a1-21a1-4de8-b5d6-07d9bd3557d6 | Original Name: K-Median Clustering.pdf | Scope: PERSONAL | Status: completed | Filename: 6b12a6e0-10c1-4335-ab80-2c9f76109bcd.pdf
ID: 9518d54f-4c37-480b-9178-56925af90b8c | Original Name: UDAQ   1884.pdf | Scope: PERSONAL | Status: completed | Filename: 31f47740-14fe-4fa7-a03e-64217a15e5a3.pdf
ID: f037bd3b-9071-4cab-8a3a-de3caf16f607 | Original Name: UDAQ   1884.pdf | Scope: PERSONAL | Status: completed | Filename: a395c469-e0a1-4dad-a55a-7be65799b489.pdf
ID: 5e2954d2-b772-4b60-91b3-122a0bb4f055 | Original Name: UDAQ   1884.pdf | Scope: PERSONAL | Status: completed | Filename: 59c3252b-c268-4093-89e5-8d4c1b4ddba1.pdf
ID: 1f81da01-bf17-493a-8c37-eed80e6e6b23 | Original Name: UDAQ   1884.pdf | Scope: PERSONAL | Status: completed | Filename: 056972c9-6388-4c61-8367-eaae38f6c336.pdf
ID: 885d1209-17eb-4dc6-8f60-4908d3be7625 | Original Name: UDAQ   1884.pdf | Scope: PERSONAL | Status: completed | Filename: b5f518b9-91f7-4823-b68a-0ee7371d92e8.pdf
ID: 68ade11e-7799-4517-83e6-d6519540a0d5 | Original Name: UDAQ   1884.pdf | Scope: PERSONAL | Status: completed | Filename: 91395855-e447-46f7-8cd9-0815ee365908.pdf
ID: 93eb6523-09f8-4224-975c-6c1e6bb0abae | Original Name: K-Median Clustering.pdf | Scope: PERSONAL | Status: completed | Filename: f46c3fe4-a2d3-4bbd-8a0e-4deeff03d429.pdf
ID: a987d394-ebbb-4c66-9896-a60ff4872b7c | Original Name: K-Median Clustering.pdf | Scope: PERSONAL | Status: completed | Filename: df8f7573-4765-4336-a8bc-a296b6296802.pdf
ID: e7cf47f2-a40a-47d9-90ca-22b04eb1ef73 | Original Name: K-Median Clustering.pdf | Scope: PERSONAL | Status: completed | Filename: ed0e2a77-a17a-4b4d-a5d8-ac4701ed120e.pdf
ID: d6855c9d-7298-43e0-80e0-bd8b8113f25f | Original Name: K-Median Clustering.pdf | Scope: PERSONAL | Status: completed | Filename: a7e6b925-bfff-4b86-888b-c2db1427378a.pdf
ID: 04cd605f-bbfb-41f0-b292-6658972a2f60 | Original Name: UDAQ   1884.pdf | Scope: PERSONAL | Status: completed | Filename: 6a3a5170-102a-41dc-b020-d2e420f5c233.pdf
ID: ef08f816-39c1-408c-b219-ba77fa5fdf02 | Original Name: 28. K-Means Clustering_ (1).pdf | Scope: PERSONAL | Status: completed | Filename: 442ab185-6659-4f3e-961d-1cd63d45c82e.pdf
ID: 9bcd3c39-fb92-422e-b04a-89c1f8ac4597 | Original Name: UDAQ   1884.pdf | Scope: PERSONAL | Status: completed | Filename: 07a402b9-8fa1-4267-bb5f-0806df6465e1.pdf
